AC,BIHAR & JHARKHAND,Full Talktime,70,Full Talktime,BR,NA,NULL,3,ACP,,,,,,
AT,UTTAR PRADESH(EAST),Topup,1000,Full Talktime,UE,NA,NULL,1,ATP,,,,,,
AT,CHENNAI,Full Talktime,350,Full Talktime,CH,Unlimited,NULL,1,ATP,,,,,,
ID,UTTAR PRADESH(EAST),Full Talktime,80,Full Talktime,UE,NA,NULL,2,IDP,,,,,,
ID,BIHAR & JHARKHAND,Full Talktime,700,Extra Talktime,BR,NA,NULL,2,IDP,,,,,,
ID,KERALA,Full Talktime,3000,Full Talktime,KL,Unlimited,NULL,2,IDP,,,,,,
RC,PUNJAB,Full Talktime,160,Full Talktime,PB,NA,NULL,6,RBP,,,,,,
RG,ORISSA,Full Talktime,150,Extra Talktime,OR,NA,NULL,6,RBP,,,,,,
T2,UTTAR PRADESH(WEST) & UTTARANCHAL,Full Talktime,50,50 Talktime on recharge through Flexi mode,UW,Lifetime,NULL,16,TMP,,,,,,
T2,ORISSA,Full Talktime,90,90 Talktime on recharge through Flexi mode,OR,Lifetime,NULL,16,TMP,,,,,,
T2,CHENNAI,Full Talktime,100,Rs. 100 TalkTime,CH,Lifetime,NULL,16,TMP,,,,,,
T2,KERALA,Full Talktime,100,Rs. 100 TalkTime,KL,Lifetime,NULL,16,TMP,,,,,,
TD,KARNATAKA,Full Talktime,200,Full talktime,KN,NA,NULL,8,TSP,,,,,,
UN,UTTAR PRADESH(WEST) & UTTARANCHAL,Full Talktime,100,Full Talktime,UW,NA,NULL,13,USP,,,,,,
VI,MAHARASHTRA,Full Talktime,201,Full Talktime,MH,NA,NULL,18,NULL,,,,,,
VF,ORISSA,Full Talktime,80,Talk Time of 80,OR,NA,NULL,12,VFP,,,,,,
AT,BIHAR & JHARKHAND,Special Recharge,13,local+national SMS @ 10p,BR,28 Days,NULL,1,ATP,,,,,,
T2,WEST BENGAL & ANDAMAN NIKOBAR,Special Recharge,151,500 Local mobile min for 30 days,WB,30 Days,NULL,17,TVP,,,,,,
T2,RAJASTHAN,Special Recharge,59,US & Canada @1p/sec.Validity 30 days,RJ,30 Days,NULL,17,TVP,,,,,,
T2,MAHARASHTRA,Special Recharge,29,600 Local & National SMS For 30 days,MH,30 Days,NULL,17,TVP,,,,,,
T2,GUJRAT,Special Recharge,3,All Local @ STD calls @ 1.5p/sec for 180 days,GJ,180 Days,NULL,17,TVP,,,,,,
T2,KARNATAKA,Special Recharge,69,350 on-net minutes for 30 days,KN,30 Days,NULL,17,TVP,,,,,,
VF,KOLKATA,Special Recharge,4,Spl tariff plan,KO,90 Days,NULL,12,VFP,,,,,,
AC,RAJASTHAN,Special Recharge,18,120 MB Pocket Internet + FREE* Whatsapp & Facebook,RJ,3 Days,NULL,3,ACP,,,,,,
AC,BIHAR & JHARKHAND,Data Plans,17,125 MB,BR,3 Days,NULL,3,ACP,,,,,,
AT,RAJASTHAN,Data Plans,125,525 MB - 2G,RJ,14 Days,NULL,1,ATP,,,,,,
AT,DELHI,Data Plans,18,75 MB 2G Data,DL,2 Days,NULL,1,ATP,,,,,,
BS,RAJASTHAN,Data Plans,39,BSNL 200 MB 2G/3G Data & Charges after free usage: 2p/10KB & Activation: Send SMS 'DATA39' to 53733,RJ,7 days,NULL,11,BVP,,,,,,
BS,ASSAM,Data Plans,39,BSNL 200 MB 2G/3G Data & Charges after free usage: 2p/10KB & Activation: Send SMS 'DATA39' to 53733,AS,7 days,NULL,11,BVP,,,,,,
BS,JAMMU & KASHMIR,Data Plans,40,BSNL 200 MB 2G/3G Data & Charges after free usage: 2p/10KB & Activation: Send SMS 'DATA40' to 53733,JK,7 days,NULL,11,BVP,,,,,,
ID,ASSAM,Data Plans,13,Data Benefit 65 MB,AS,3 Days,NULL,2,IDP,,,,,,
RG,UTTAR PRADESH(WEST) & UTTARANCHAL,Data Plans,99,1 GB Data, Facebook, Twitter,UW,21 Days,NULL,6,RBP,,,,
TI,HARYANA,Data Plans,12,Free Data Usage Benefit : 150 MB,HR,3 Days,NULL,7,TCP,,,,,,
VG,ORISSA,Data Plans,56,Benefit : 500 MB,OR,15 Days,NULL,19,NULL,,,,,,
VF,CHENNAI,Data Plans,148,Enjoy 1GB 2G free mobile internet,CH,28 Days,NULL,12,VFP,,,,,,
AT,RAJASTHAN,3G Plans,599,1.5 GB - 3G Data,RJ,60 Days,NULL,1,ATP,,,,,,
AT,GUJRAT,3G Plans,46,125 MB 3G for 7 Days,GJ,7 Days,NULL,1,ATP,,,,,,
ID,MAHARASHTRA,3G Plans,6,"Data Benefit 15 MB, Mode Of Recharge USSD *800*6#",MH,1 Day,NULL,2,IDP,,,,,,
MS,GUJRAT,3G Plans,102,300 MB @ Speed up to 3.1Mbps. Additional Usage will be charged at 2p/10kb. Pack available to customers have 3x facility on their respective mobile handsets only.,GJ,30 Days,NULL,5,MTP,,,,,,
RG,MADHYA PRADESH & CHHATTISGARH,3G Plans,94,Rs 94 Talktime valid for 10 days + 100 MB 3G data for 10 days + All Local and STD voice calls @ 40p/min for 10 days,MP,10 Days,NULL,6,RBP,,,,,,
VF,KOLKATA,3G Plans,42,Internet Usage,KO,7 Days,NULL,12,VFP,,,,,,
BS,ASSAM,Roaming,31,SMS On net 0.5p sms and Off Net 10p sms.STV features are available for maximum 100 nos of SMS day and in National roaming also but in BSNL network only.Maximum SMS limit is 200 nos. day.,AS,30 Days,NULL,11,BVP,,,,,,
TD,PUNJAB,Roaming,71,On-Net Tariff Benefit - Local : Unlimited Incoming Roaming Local Outgoing calls @ 1.5p/ sec. , On-Net Tariff Benefit - STD : STD Outgoing calls @ 1.5p/ sec., Off-Net Tariff Benefit - Local & STD : Incoming calls @ 0.75p/ min. Local Outgoing calls @ Re.1/ min. STD Outgoing calls @ Rs.1.5/ min. , SMS Benefit : Local SMS @ Re.1 STD SMS @ Rs.1.5,PB,30 Days,NULL,9,TGP,,,
TI,UTTAR PRADESH(WEST) & UTTARANCHAL,Roaming,152,Tariff Benefit : All Local calls @ 78 paise/ min. on Home Network & Roaming All STD calls @ 90 paise/ min. on Home & Roaming Network All Incoming calls while Roaming @ 75 paise/ min. , Seconds Benefit : NA, SMS Benefit : All Local SMS from Home Network & Roaming @ Re.1/ SMS All National SMS from Home Network & Roaming @ Rs.1.5/SMS , Data Benefit : NA,UW,180 Days,NULL,7,TCP,,,
VI,UTTAR PRADESH(WEST) & UTTARANCHAL,Roaming,252,Tariff Benefit : All Local Calls @ 78 paise/ min. on Home & Roaming Network All STD Calls @ 90 paise/ min. on Home & Roaming Network All Incoming Calls while Roaming is free. , Seconds Benefit : NA , SMS Benefit : All Local SMS from Home Network & Roaming @ ` 1/ SMS All National SMS from Home Network & Roaming @ ` 1.5/ SMS,UW,180 Days,NULL,18,NULL,,,,
AT,GUJRAT,Topup,20,TT Rs15.8,GJ,Nil,NULL,1,ATP,,,,,,
ID,HIMACHAL PRADESH,Topup,50,Regular Talktime,HP,NA,NULL,2,IDP,,,,,,
RC,HIMACHAL PRADESH,Topup,20,Regular Talktime,HP,NA,NULL,6,RBP,,,,,,
RC,HIMACHAL PRADESH,Topup,30,Regular Talktime,HP,NA,NULL,6,RBP,,,,,,
RC,HIMACHAL PRADESH,Topup,50,Regular Talktime,HP,NA,NULL,6,RBP,,,,,,
RC,HIMACHAL PRADESH,Topup,100,Regular Talktime,HP,NA,NULL,6,RBP,,,,,,
RC,HIMACHAL PRADESH,Topup,150,Regular Talktime,HP,NA,NULL,6,RBP,,,,,,
RC,HIMACHAL PRADESH,Topup,200,Regular Talktime,HP,NA,NULL,6,RBP,,,,,,
RC,HIMACHAL PRADESH,Topup,220,Regular Talktime,HP,NA,NULL,6,RBP,,,,,,
RC,HIMACHAL PRADESH,Topup,300,Regular Talktime,HP,NA,NULL,6,RBP,,,,,,
RC,HIMACHAL PRADESH,Topup,330,Regular Talktime,HP,NA,NULL,6,RBP,,,,,,
RC,HIMACHAL PRADESH,Topup,500,Regular Talktime,HP,NA,NULL,6,RBP,,,,,,
RC,HIMACHAL PRADESH,Topup,550,Regular Talktime,HP,NA,NULL,6,RBP,,,,,,
RC,HIMACHAL PRADESH,Topup,770,Regular Talktime,HP,NA,NULL,6,RBP,,,,,,
RC,HIMACHAL PRADESH,Topup,1000,Regular Talktime,HP,NA,NULL,6,RBP,,,,,,
RC,KARNATAKA,Topup,10,Regular Talktime,KN,NA,NULL,6,RBP,,,,,,
RC,KARNATAKA,Topup,20,Regular Talktime,KN,NA,NULL,6,RBP,,,,,,
RC,KARNATAKA,Topup,30,Regular Talktime,KN,NA,NULL,6,RBP,,,,,,
RC,KARNATAKA,Topup,50,Regular Talktime,KN,NA,NULL,6,RBP,,,,,,
RC,KARNATAKA,Topup,100,Regular Talktime,KN,NA,NULL,6,RBP,,,,,,
RC,KARNATAKA,Topup,110,Regular Talktime,KN,NA,NULL,6,RBP,,,,,,
RC,KARNATAKA,Topup,400,Regular Talktime,KN,NA,NULL,6,RBP,,,,,,
RC,KERALA,Topup,10,Regular Talktime,KL,NA,NULL,6,RBP,,,,,,
